苦桃(bitter peach)
荆棘玫瑰香水(rose prick eau de parfum)
珍华乌木(oud wood)
乌木沉香(oud wood)
电光樱桃(electric cherry)
珍华乌木(wood eau de parfum)
法布勒斯(fabulous eau de parfum)
啡萦珍瑰(cafe rose)
法布勒斯(fabulous)
暗影之水·皮革版(eau d'ombre leather)
中国玫瑰(rose de chine)
vanilla sex
咖啡玫瑰(café rose)
灰色香根草(oud wood)
灰色香根草(noir extreme)
橙花之港( neroli portofino )
乌木沉香香水(oud wood)
暗麝心魄白瓶(white suede)
绝密阳光(soledi positano)
橙花香水(neroli portofino)
橙花油(neroli portofino)
白麝香(white suede)
烟熏乌木(ebene fume)
荆棘玫瑰(rose prick)
未知(未知)
苦桃（桃涩花蜜）  bitter peach
荆刺玫瑰  rose prick
珍华乌木  oud wood
珍华乌木  oud wood
电光樱桃  electric cherry
珍华乌木香精  oud wood parfum
美好的一天淡香精  beau de jour eau de parfum
咖啡玫瑰  café rose
他妈的真棒（法布勒斯）  fucking fabulous
光影皮革之水  eau d'ombré leather
中国玫瑰  rose de chine
禁忌香草  vanilla sex
咖啡玫瑰  café rose
灰色香根草  grey vetiver
灰色香根草  grey vetiver
橙花（绝耀倾橙）淡香精  neroli portofino
珍华乌木香精  oud wood parfum
白麝香（暗麝心魄）  white suede
绝秘阳光  sole di positano
橙花（绝耀倾橙）淡香精  neroli portofino
橙花（绝耀倾橙）淡香精  neroli portofino
白麝香（暗麝心魄）  white suede
烟氲圣木（烟熏乌木）  ébène fumé
荆刺玫瑰  rose prick
迷欲之雾（骚动之云）  tumultu


